State,Year,Resource Type,Consumption
California,1999,Wind,33
California,2000,Wind,35.9
California,2001,Wind,36.2
California,2002,Wind,38.7
California,2003,Wind,39.4
California,2004,Wind,43.1
California,2005,Wind,42.6
California,2006,Wind,48.4
California,2007,Wind,55.2
California,2008,Wind,53.1
California,2009,Wind,57
California,2010,Wind,59.3
California,2011,Wind,75.3
California,2012,Wind,92.8
California,2013,Wind,122.3
California,2014,Wind,123.6
California,2015,Wind,114
California,2016,Wind,124.7
Colorado,1960,Wind,0
Colorado,1965,Wind,0
Colorado,1970,Wind,0
Colorado,1971,Wind,0
Colorado,1972,Wind,0
Colorado,1973,Wind,0
Colorado,1974,Wind,0
Colorado,1975,Wind,0
Colorado,1976,Wind,0
Colorado,1977,Wind,0
Colorado,1978,Wind,0
Colorado,1979,Wind,0
Colorado,1980,Wind,0
Colorado,1981,Wind,0
Colorado,1982,Wind,0
Colorado,1983,Wind,0
Colorado,1984,Wind,0
Colorado,1985,Wind,0
Colorado,1986,Wind,0
Colorado,1987,Wind,0
Colorado,1988,Wind,0
Colorado,1989,Wind,0
Colorado,1990,Wind,0
Colorado,1991,Wind,0
Colorado,1992,Wind,0
Colorado,1993,Wind,0
Colorado,1994,Wind,0
Colorado,1995,Wind,0
Colorado,1996,Wind,0
Colorado,1997,Wind,0
Colorado,1998,Wind,0
Colorado,1999,Wind,0
Colorado,2000,Wind,0
Colorado,2001,Wind,0.5
Colorado,2002,Wind,1.4
Colorado,2003,Wind,1.5
Colorado,2004,Wind,2.2
Colorado,2005,Wind,7.8
Colorado,2006,Wind,8.6
Colorado,2007,Wind,12.8
Colorado,2008,Wind,31.7
Colorado,2009,Wind,30.9
Colorado,2010,Wind,33.7
Colorado,2011,Wind,50.5
Colorado,2012,Wind,56.8
Colorado,2013,Wind,68.7
Colorado,2014,Wind,70.1
Colorado,2015,Wind,69.7
Colorado,2016,Wind,87
Connecticut,1960,Wind,0
Connecticut,1965,Wind,0
Connecticut,1970,Wind,0
Connecticut,1971,Wind,0
Connecticut,1972,Wind,0
Connecticut,1973,Wind,0
Connecticut,1974,Wind,0
Connecticut,1975,Wind,0
Connecticut,1976,Wind,0
Connecticut,1977,Wind,0
Connecticut,1978,Wind,0
Connecticut,1979,Wind,0
Connecticut,1980,Wind,0
Connecticut,1981,Wind,0
Connecticut,1982,Wind,0
Connecticut,1983,Wind,0
Connecticut,1984,Wind,0
Connecticut,1985,Wind,0
Connecticut,1986,Wind,0
Connecticut,1987,Wind,0
Connecticut,1988,Wind,0
Connecticut,1989,Wind,0
Connecticut,1990,Wind,0
Connecticut,1991,Wind,0
Connecticut,1992,Wind,0
Connecticut,1993,Wind,0
Connecticut,1994,Wind,0
Connecticut,1995,Wind,0
Connecticut,1996,Wind,0
Connecticut,1997,Wind,0
Connecticut,1998,Wind,0
Connecticut,1999,Wind,0
Connecticut,2000,Wind,0
Connecticut,2001,Wind,0
Connecticut,2002,Wind,0
Connecticut,2003,Wind,0
Connecticut,2004,Wind,0
Connecticut,2005,Wind,0
Connecticut,2006,Wind,0
Connecticut,2007,Wind,0
Connecticut,2008,Wind,0
Connecticut,2009,Wind,0
Connecticut,2010,Wind,0
Connecticut,2011,Wind,0
Connecticut,2012,Wind,0
Connecticut,2013,Wind,0
Connecticut,2014,Wind,0
Connecticut,2015,Wind,0
Connecticut,2016,Wind,0.1
Delaware,1960,Wind,0
Delaware,1965,Wind,0
Delaware,1970,Wind,0
Delaware,1971,Wind,0
Delaware,1972,Wind,0
Delaware,1973,Wind,0
Delaware,1974,Wind,0
Delaware,1975,Wind,0
Delaware,1976,Wind,0
Delaware,1977,Wind,0
Delaware,1978,Wind,0
Delaware,1979,Wind,0
Delaware,1980,Wind,0
Delaware,1981,Wind,0
Delaware,1982,Wind,0
Delaware,1983,Wind,0
Delaware,1984,Wind,0
Delaware,1985,Wind,0
Delaware,1986,Wind,0
Delaware,1987,Wind,0
Delaware,1988,Wind,0
Delaware,1989,Wind,0
Delaware,1990,Wind,0
Delaware,1991,Wind,0
Delaware,1992,Wind,0
Delaware,1993,Wind,0
Delaware,1994,Wind,0
Delaware,1995,Wind,0
Delaware,1996,Wind,0
Delaware,1997,Wind,0
Delaware,1998,Wind,0
Delaware,1999,Wind,0
Delaware,2000,Wind,0
Delaware,2001,Wind,0
Delaware,2002,Wind,0
Delaware,2003,Wind,0
Delaware,2004,Wind,0
Delaware,2005,Wind,0
Delaware,2006,Wind,0
Delaware,2007,Wind,0
Delaware,2008,Wind,0
Delaware,2009,Wind,0
Delaware,2010,Wind,0
Delaware,2011,Wind,0
Delaware,2012,Wind,0
Delaware,2013,Wind,0
Delaware,2014,Wind,0
Delaware,2015,Wind,0
Delaware,2016,Wind,0
District of Columbia,1960,Wind,0
District of Columbia,1965,Wind,0
District of Columbia,1970,Wind,0
District of Columbia,1971,Wind,0
District of Columbia,1972,Wind,0
District of Columbia,1973,Wind,0
District of Columbia,1974,Wind,0
District of Columbia,1975,Wind,0
District of Columbia,1976,Wind,0
District of Columbia,1977,Wind,0
District of Columbia,1978,Wind,0
District of Columbia,1979,Wind,0
District of Columbia,1980,Wind,0
District of Columbia,1981,Wind,0
District of Columbia,1982,Wind,0
District of Columbia,1983,Wind,0
District of Columbia,1984,Wind,0
District of Columbia,1985,Wind,0
District of Columbia,1986,Wind,0
District of Columbia,1987,Wind,0
District of Columbia,1988,Wind,0
District of Columbia,1989,Wind,0
District of Columbia,1990,Wind,0
District of Columbia,1991,Wind,0
District of Columbia,1992,Wind,0
District of Columbia,1993,Wind,0
District of Columbia,1994,Wind,0
District of Columbia,1995,Wind,0
District of Columbia,1996,Wind,0
District of Columbia,1997,Wind,0
District of Columbia,1998,Wind,0
District of Columbia,1999,Wind,0
District of Columbia,2000,Wind,0
District of Columbia,2001,Wind,0
District of Columbia,2002,Wind,0
District of Columbia,2003,Wind,0
District of Columbia,2004,Wind,0
District of Columbia,2005,Wind,0
District of Columbia,2006,Wind,0
District of Columbia,2007,Wind,0
District of Columbia,2008,Wind,0
District of Columbia,2009,Wind,0
District of Columbia,2010,Wind,0
District of Columbia,2011,Wind,0
District of Columbia,2012,Wind,0
District of Columbia,2013,Wind,0
District of Columbia,2014,Wind,0
District of Columbia,2015,Wind,0
District of Columbia,2016,Wind,0
Florida,1960,Wind,0
Florida,1965,Wind,0
Florida,1970,Wind,0
Florida,1971,Wind,0
Florida,1972,Wind,0
Florida,1973,Wind,0
Florida,1974,Wind,0
Florida,1975,Wind,0
Florida,1976,Wind,0
Florida,1977,Wind,0
Florida,1978,Wind,0
Florida,1979,Wind,0
Florida,1980,Wind,0
Florida,1981,Wind,0
Florida,1982,Wind,0
Florida,1983,Wind,0
Florida,1984,Wind,0
Florida,1985,Wind,0
Florida,1986,Wind,0
Florida,1987,Wind,0
Florida,1988,Wind,0
Florida,1989,Wind,0
Florida,1990,Wind,0
Florida,1991,Wind,0
Florida,1992,Wind,0
Florida,1993,Wind,0
Florida,1994,Wind,0
Florida,1995,Wind,0
Florida,1996,Wind,0
Florida,1997,Wind,0
Florida,1998,Wind,0
Florida,1999,Wind,0
Florida,2000,Wind,0
Florida,2001,Wind,0
Florida,2002,Wind,0
Florida,2003,Wind,0
Florida,2004,Wind,0
Florida,2005,Wind,0
Florida,2006,Wind,0
Florida,2007,Wind,0
Florida,2008,Wind,0
Florida,2009,Wind,0
Florida,2010,Wind,0
Florida,2011,Wind,0
Florida,2012,Wind,0
Florida,2013,Wind,0
Florida,2014,Wind,0
Florida,2015,Wind,0
Florida,2016,Wind,0
Georgia,1960,Wind,0
Georgia,1965,Wind,0
Georgia,1970,Wind,0
Georgia,1971,Wind,0
Georgia,1972,Wind,0
Georgia,1973,Wind,0
Georgia,1974,Wind,0
Georgia,1975,Wind,0
Georgia,1976,Wind,0
Georgia,1977,Wind,0
Georgia,1978,Wind,0
Georgia,1979,Wind,0
Georgia,1980,Wind,0
Georgia,1981,Wind,0
Georgia,1982,Wind,0
Georgia,1983,Wind,0
Georgia,1984,Wind,0
Georgia,1985,Wind,0
Georgia,1986,Wind,0
Georgia,1987,Wind,0
Georgia,1988,Wind,0
Georgia,1989,Wind,0
Georgia,1990,Wind,0
Georgia,1991,Wind,0
Georgia,1992,Wind,0
Georgia,1993,Wind,0
Georgia,1994,Wind,0
Georgia,1995,Wind,0
Georgia,1996,Wind,0
Georgia,1997,Wind,0
Georgia,1998,Wind,0
Georgia,1999,Wind,0
Georgia,2000,Wind,0
Georgia,2001,Wind,0
Georgia,2002,Wind,0
Georgia,2003,Wind,0
