Year,user_id,tweet,features__name,features__id,features__screen_name,features__tweets,features__location,features__primary_geo,features__geo_type,state
2018,347315854,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Ana María,347315854,AniMMG,1,"Lima, Peru","Lima, Peru",User location,
2018,2329028696,RT @Soren_Ltd: Fucking...fossil fuels. Again. https://t.co/DdeR8kT9E0,Jonas brothers Stan account,2329028696,itscassexy,1,9th circle of Hell,9th circle of Hell,User location,
2018,72454254,"RT @MikeHudema: Every year, governments worldwide spend $425B subsidizing fossil fuels, 5x more than they spend on #renewableenergy: https:…",c. berry lee,72454254,cberrl,1,"durham, NC","durham, NC",User location, North Carolina
2018,1239611636,@DudleyDoRightly @Fogelhund @ElizabethMay It's not a *guess*!\n\nClimate change is real.\nWe have scientific consensus… https://t.co/roi38H9PTX,Jane Munroe - ☘️,1239611636,janewordsmith,1,Albertastan - Treaty 6 land,Albertastan - Treaty 6 land,User location,
2018,32615527,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",mark weissgerber,32615527,peacegnome,1,WiscoWorld,WiscoWorld,User location,
2018,25491624,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Lisa E Hansen,25491624,TattooLisa,1,"Oshkosh, WI, USA","Oshkosh, WI, USA",User location, Wisconsin
2018,8.23E+17,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",#NoBorderWallEver🏳️‍🌈🎧🌹🌻🌊🗽❤️☮️🌎,8.23E+17,rss303,1,"Tampa, FL, USA","Tampa, FL, USA",User location, Florida
2018,3383646261,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Mandy Jungkook🐰❤,3383646261,amandamattos24,1,"Rio de Janeiro, Brasil","Rio de Janeiro, Brasil",User location,
2018,8.16E+17,@RichardHasse @BWelkie @NBCNews Better than our archaic reliance on outdated fossil fuels! America should be leadin… https://t.co/x7qmvpWgke,Paying Attention,8.16E+17,SnarkyIntegrity,1,"California, USA","California, USA",User location,California
2018,545689107,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",DV Daniel Villeneuve,545689107,krolock2,1,West Palm Beach,West Palm Beach,User location, Florida
